=======================================
Testing Minimized Seeds (723 tests)
=======================================

Step 1: Copying team files...
Step 2: Building Rust binary...
Step 3: Running JavaScript battles...
Step 4: Running Rust battles...
Step 5: Copying results...

Step 6: Comparing results...

Seed 1627: ✗ FAIL - #1: turn=2, prng=0->0, P1=[Dragapult(321/321)], P2=[Linoone(302/302)]
Seed 1649: ✗ FAIL - #1: turn=2, prng=0->5, P1=[Kabutops(222/265)], P2=[Scattervein(218/293)]
Seed 1653: ✗ FAIL - #1: turn=2, prng=0->7, P1=[Scattervein(240/260)], P2=[Sandygast(184/230)]
Seed 1657: ✗ FAIL - #1: turn=2, prng=0->1, P1=[Dedenne(215/215)], P2=[Ampharos(206/219)]
Seed 1720: ✗ FAIL - #1: turn=2, prng=0->7, P1=[Zoroark(135/219)], P2=[Palpitoad(258/290)]
Seed 1773: ✗ FAIL - #1: turn=2, prng=0->8, P1=[Voodoll(156/206)], P2=[Gengar(196/282)]
Seed 1787: ✗ FAIL - #1: turn=1, prng=0->3, P1=[Orthworm(0/201)], P2=[Pidgeot(194/194)]
Seed 1795: ✗ FAIL - #1: turn=2, prng=0->6, P1=[Abomasnow(59/182)], P2=[Magnezone(297/302)]
Seed 1803: ✗ FAIL - #1: turn=2, prng=0->4, P1=[Emboar(363/363)], P2=[Iron Leaves(288/288)]
Seed 1813: ✗ FAIL - #1: turn=2, prng=0->7, P1=[Bibarel(92/168)], P2=[Chimchar(223/242)]
Seed 1814: ✗ FAIL - #1: turn=2, prng=0->4, P1=[Kyogre(244/268)], P2=[Oricorio(239/239)]
Seed 1819: ✗ FAIL - #1: turn=2, prng=0->3, P1=[Eternatus(558/572)], P2=[Terapagos(326/326)]
Seed 1825: ✗ FAIL - #1: turn=2, prng=0->3, P1=[Latios(222/222)], P2=[Slowbro(293/314)]
Seed 1840: ✗ FAIL - #1: turn=2, prng=0->6, P1=[Garchomp(340/355)], P2=[Enamorus(116/175)]
Seed 1842: ✗ FAIL - #1: turn=2, prng=0->1, P1=[Pokestar UFO(354/354)], P2=[Krokorok(205/205)]
Seed 1844: ✗ FAIL - #1: turn=1, prng=0->3, P1=[Lapras(310/310)], P2=[Darumaka(0/173)]
Seed 1880: ✗ FAIL - #1: turn=2, prng=0->4, P1=[Mawile(251/251)], P2=[Rhyperior(270/285)]
Seed 1961: ✗ FAIL - #1: turn=2, prng=0->0, P1=[Necrozma(262/262)], P2=[Poipole(195/195)]
